Row number,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
1,221,engineering,,0.93286764,4,,low,0.829896196,Left,5
2,232,support,,,3,,low,0.834543795,Employed,2
3,184,sales,,0.788829842,3,,medium,0.834987611,Employed,3
4,206,sales,,0.575687931,4,,low,0.424764288,Employed,2
5,249,sales,,0.845217472,3,,low,0.779043096,Employed,3
6,140,sales,,0.589097371,4,,medium,0.660019905,Employed,4
7,121,sales,1,0.62539883,3,,low,0.835570551,Employed,3
8,150,engineering,,0.644585844,4,,low,0.796683395,Employed,3
9,215,engineering,1,0.524113534,3,,medium,0.715005032,Employed,7
10,269,support,,0.90936433,5,,medium,0.994037398,Employed,2
11,147,sales,,,2,,medium,0.403551808,Left,3
12,188,sales,1,0.925479635,6,,low,0.481408602,Employed,5
13,191,support,,0.94672381,5,,low,0.925337129,Employed,4
14,290,engineering,,0.770247875,6,,medium,0.090342793,Left,4
15,253,sales,,0.579966137,5,,medium,0.627725955,Employed,6
16,258,support,,0.837502513,5,,medium,0.849667273,Left,5
17,151,engineering,,0.452832173,4,,medium,0.658608148,Employed,3
18,252,IT,,0.919196292,5,,low,0.893364991,Left,5
19,276,product,,0.570038733,4,,low,0.382260201,Employed,2
20,154,marketing,,,2,,low,0.422224874,Left,3
21,259,product,,0.763606786,2,,low,0.787468037,Employed,3
22,136,marketing,,,3,,low,0.441057742,Employed,3
23,176,IT,,,3,,low,0.871386304,Employed,3
24,231,support,,0.937508766,4,,medium,0.668369478,Employed,3
25,125,temp,,,2,,medium,,Employed,
26,109,sales,1,0.79806866,3,,low,0.537828341,Employed,3
27,130,procurement,1,0.71603037,6,,low,0.175453989,Employed,6
28,163,sales,,0.550433959,2,,medium,0.544376726,Employed,3
29,67,temp,,,1,,low,,Employed,
30,184,sales,,0.762948071,4,,medium,0.617610995,Employed,3
31,268,engineering,,0.943844635,3,,low,0.936081051,Employed,4
32,188,finance,,0.862307682,3,,medium,1,Employed,4
33,107,engineering,,0.474348552,2,,medium,0.615676167,Employed,3
34,156,sales,,0.621111081,3,,medium,0.428014178,Employed,3
35,234,IT,1,0.861565035,4,,medium,0.627199943,Employed,2
36,127,sales,,,5,,low,0.834380141,Employed,3
37,282,IT,,0.723354974,5,,medium,0.213991819,Employed,3
38,133,sales,,0.971212667,3,,low,0.818819904,Employed,4
39,270,engineering,,0.475292597,6,,low,0.150336702,Employed,5
40,184,,,1,5,,low,0.297124012,Employed,5
41,132,marketing,,0.49501302,2,,low,0.438559832,Left,3
42,126,support,1,0.821486565,3,,low,0.772891198,Employed,10
43,139,product,,0.856088543,4,,medium,0.683456025,Employed,3
44,308,engineering,,0.863262837,7,,medium,0.124350225,Left,4
45,70,temp,,,3,,low,,Employed,
46,147,engineering,,,2,,low,0.401974707,Left,3
47,274,support,,0.842357313,5,,medium,0.803068372,Left,6
48,278,sales,,0.766255776,7,,low,0.148641754,Left,4
49,156,engineering,,0.988904842,4,,medium,0.456248436,Employed,2
50,185,sales,,0.598749269,4,,low,0.869204284,Employed,2
51,263,sales,,0.74494677,6,,low,0.75962,Employed,6
52,260,sales,,0.765783959,5,,low,0.711329117,Employed,3
53,224,support,,0.561019606,5,,medium,0.905668552,Employed,2
54,224,sales,,0.910270844,4,,medium,0.615978244,Employed,10
55,135,sales,,0.533361921,2,,low,0.38807014,Left,3
56,147,marketing,,0.713746664,2,,low,0.967868021,Employed,3
57,245,engineering,,0.932526594,7,,medium,0.061173623,Left,4
58,203,product,1,0.494479275,3,,medium,0.492376555,Employed,3
59,235,finance,1,0.735849779,4,,high,0.928861452,Employed,2
60,187,IT,,0.734682888,3,,low,0.213485172,Employed,5
61,132,management,,0.535231622,2,,low,0.429822085,Left,3
62,258,product,,0.813773773,7,,low,0.146593185,Left,4
63,165,engineering,,0.522047697,4,,low,0.851394379,Employed,2
64,146,sales,,0.531577279,2,,low,0.401953819,Left,3
65,159,,,0.69410072,3,,low,0.556401859,Employed,3
66,198,engineering,,0.749982471,2,,medium,0.526960725,Left,2
67,159,marketing,,0.483106968,2,,low,0.43881927,Left,3
68,275,product,,0.573595902,2,,low,0.894658513,Employed,3
69,141,support,,0.932462217,3,,medium,0.810725322,Employed,3
70,173,finance,,,4,,low,0.862683386,Employed,3
71,203,sales,,0.586132024,5,,medium,0.703755789,Employed,2
72,203,engineering,,0.606090193,4,,low,0.274144974,Employed,5
73,230,sales,,0.801731336,5,,medium,0.129582617,Employed,4
74,168,sales,,0.589119715,4,,low,0.475901904,Employed,2
75,183,IT,,0.716132846,3,,low,0.786998508,Employed,3
76,246,support,,0.328416715,5,,medium,0.461553349,Employed,3
77,209,engineering,,0.707901457,5,,low,0.83158224,Employed,3
78,224,sales,,1,3,,medium,0.527417463,Employed,6
79,143,support,,0.583222824,2,,low,0.47794849,Left,3
80,140,sales,,0.999150412,2,,medium,0.503040551,Employed,2
81,212,support,,0.789082021,3,,low,0.725231676,Employed,4
82,156,marketing,,0.502562826,3,,low,0.635503289,Employed,5
83,186,IT,,0.859763957,3,,medium,0.729667531,Employed,2
84,162,sales,,0.502258814,3,,low,0.800482238,Employed,3
